C,gamma,accuracy
0.1,0.1,0.8215163337119211
0.1,0.2,0.8222073575912192
0.1,0.3,0.8221797638544588
0.1,0.4,0.8220415812361063
0.1,0.5,0.8221521815784779
0.1,0.6,0.8223180037767088
0.1,0.7,0.8222903259942322
0.1,0.8,0.822152112813801
0.1,0.9,0.8217928020956418
0.1,1.0,0.8212675965943147
0.2,0.1,0.8215716357932369
0.2,0.2,0.8227878728143816
0.2,0.3,0.8221797944165374
0.2,0.4,0.8220415812361062
0.2,0.5,0.82231798085515
0.2,0.6,0.8221521357353598
0.2,0.7,0.8218204302147406
0.2,0.8,0.8217374923738063
0.2,0.9,0.821544003853878
0.2,1.0,0.8215440229551773
0.3,0.1,0.8219309732532147
0.3,0.2,0.8225943881147133
0.3,0.3,0.8219586472154317
0.3,0.4,0.8224838183344202
0.3,0.5,0.8221797523936794
0.3,0.6,0.8217651319536847
0.3,0.7,0.8215993059351939
0.3,0.8,0.8218480621540994
0.3,0.9,0.8217927791740827
0.3,1.0,0.8213228604730322
0.4,0.1,0.8222350239129164
0.4,0.2,0.8224009072353047
0.4,0.3,0.8222074225356364
0.4,0.4,0.8226773183151279
0.4,0.5,0.8219586128330933
0.4,0.6,0.821765147234724
0.4,0.7,0.8221521471961395
0.4,0.8,0.821930992354514
0.4,0.9,0.8219309770734746
0.4,1.0,0.8220968527553433
0.5,0.1,0.8223455784121703
0.5,0.2,0.8224838336154596
0.5,0.3,0.8224285429949232
0.5,0.4,0.8223179655741106
0.5,0.5,0.8221797562139391
0.5,0.6,0.822179782955758
0.5,0.7,0.8224009148758243
0.5,0.8,0.8223456051539889
0.5,0.9,0.8221244694136628
0.5,1.0,0.8218204034729217
0.6,0.1,0.8223732218123084
0.6,0.2,0.822345628075548
0.6,0.3,0.8227602446952827
0.6,0.4,0.8223179655741106
0.6,0.5,0.8222350621155148
0.6,0.6,0.8222627322574716
0.6,0.7,0.8224838259749399
0.6,0.8,0.8223455669513907
0.6,0.9,0.8224285009720651
0.6,1.0,0.8220415162916892
0.7,0.1,0.8226220124135523
0.7,0.2,0.8222350621155148
0.7,0.3,0.8226220315148514
0.7,0.4,0.8222626940548734
0.7,0.5,0.8225114961168968
0.7,0.6,0.8224838374357194
0.7,0.7,0.8225114349927395
0.7,0.8,0.8226772648314903
0.7,0.9,0.8222902763308543
0.7,1.0,0.8227325554520265
0.8,0.1,0.82264966727447
0.8,0.2,0.822179779135498
0.8,0.3,0.8225667332537956
0.8,0.4,0.8224285544557027
0.8,0.5,0.8226497207581076
0.8,0.6,0.8228431596146579
0.8,0.7,0.822926059252994
0.8,0.8,0.8225943308108159
0.8,0.9,0.8230365946509487
0.8,1.0,0.8230089665318496
0.9,0.1,0.8227602446952827
0.9,0.2,0.8224009148758243
0.9,0.3,0.8221244617731431
0.9,0.4,0.822511492296637
0.9,0.5,0.8229261165568914
0.9,0.6,0.823091927294343
0.9,0.7,0.8230642571523861
0.9,0.8,0.823036587010429
0.9,0.9,0.823257726571015
0.9,1.0,0.823091927294343
